state,x,y
Jammu Kashmir,-122,303
Himachal Pradesh,-110,246
Punjab,-149,222
Haryana,-144,185
Delhi,-121,169
Uttarakhand,-66,199
Uttar Pradesh,-46,124
Bihar,58,90
Rajasthan,-189,124
Gujarat,-243,45
Madhya Pradesh,-106,39
Chattisgarh,-31,-9
Orissa,35,-29
West Bengal,108,31
Maharashtra,-185,-50
Goa,-223,-145
Karnataka,-182,-170
Telangana,-98,-87
Andhra Pradesh,-109,-160
Kerala,-175,-272
Tamil Nadu,-123,-255
Sikkim,119,134
Meghalaya,176,84
Assam,214,105
Tripura,192,40
Mizoram,212,33
Manipur,236,67
Nagaland,249,100
Arunachal Pradesh,278,167
